Date,Initial Claims N.S.A,Initial Claims S.F.,Initial Claims S.A.,Initial Claims S.A. 4-Week,Continued Claims N.S.A,Continued Claims S.F.,Continued Claims S.A.,Continued Claims S.A. 4-Week,I.U.R N.S.A,I.U.R S.A.,Covered Employment
1/7/1967,"346,000",166.5,"208,000",0,"1,594,000",140.6,"1,134,000",0,,,
1/14/1967,"334,000",161.5,"207,000",0,"1,563,000",139.7,"1,119,000",0,,,
1/21/1967,"277,000",127.8,"217,000",0,"1,551,000",138.6,"1,119,000",0,,,
1/28/1967,"252,000",123.8,"204,000","209,000","1,533,000",139,"1,103,000","1,118,750",,,
2/4/1967,"274,000",127.1,"216,000","211,000","1,534,000",135.6,"1,131,000","1,118,000",,,
2/11/1967,"276,000",120.4,"229,000","216,500","1,557,000",135,"1,153,000","1,126,500",,,
2/18/1967,"247,000",108.4,"229,000","219,500","1,579,000",135.3,"1,167,000","1,138,500",,,
2/25/1967,"248,000",102.6,"242,000","229,000","1,625,000",135.5,"1,199,000","1,162,500",,,
3/4/1967,"326,000",105.4,"310,000","252,500","1,621,000",131.2,"1,235,000","1,188,500",,,
3/11/1967,"240,000",99.8,"241,000","255,500","1,577,000",127.8,"1,234,000","1,208,750",,,
3/18/1967,"225,000",92,"245,000","259,500","1,525,000",123.4,"1,236,000","1,226,000",,,
3/25/1967,"215,000",87.2,"247,000","260,750","1,505,000",118.7,"1,268,000","1,243,250",,,
4/1/1967,"223,000",86.2,"259,000","248,000","1,470,000",113.8,"1,291,000","1,257,250",,,
4/8/1967,"251,000",97.6,"257,000","252,000","1,410,000",110.8,"1,273,000","1,267,000",,,
4/15/1967,"289,000",96.9,"299,000","265,500","1,386,000",108.5,"1,278,000","1,277,500",,,
4/22/1967,"218,000",89.1,"245,000","265,000","1,342,000",105.1,"1,277,000","1,279,750",,,
4/29/1967,"216,000",85,"255,000","264,000","1,302,000",101.3,"1,286,000","1,278,500",,,
5/6/1967,"221,000",87.4,"254,000","263,250","1,242,000",95,"1,308,000","1,287,250",,,
5/13/1967,"188,000",81.7,"231,000","246,250","1,169,000",91,"1,284,000","1,288,750",,,
5/20/1967,"177,000",77.3,"230,000","242,500","1,129,000",89.3,"1,265,000","1,285,750",,,
5/27/1967,"170,000",75,"228,000","235,750","1,062,000",84.8,"1,253,000","1,277,500",,,
6/3/1967,"175,000",70.8,"248,000","234,250","1,085,000",85.8,"1,265,000","1,266,750",,,
6/10/1967,"188,000",79.3,"238,000","236,000","1,038,000",83,"1,251,000","1,258,500",,,
6/17/1967,"176,000",78.8,"224,000","234,500","1,023,000",82,"1,248,000","1,254,250",,,
6/24/1967,"178,000",81.6,"218,000","232,000","1,008,000",82.6,"1,220,000","1,246,000",,,
7/1/1967,"206,000",98.9,"209,000","222,250","980,000",82.2,"1,193,000","1,228,000",,,
7/8/1967,"322,000",134.7,"240,000","222,750","1,139,000",91.3,"1,248,000","1,227,250",,,
7/15/1967,"309,000",128.1,"241,000","227,000","1,212,000",96.3,"1,258,000","1,229,750",,,
7/22/1967,"282,000",117.8,"240,000","232,500","1,184,000",94.5,"1,252,000","1,237,750",,,
7/29/1967,"243,000",116.4,"209,000","232,500","1,205,000",94.2,"1,280,000","1,259,500",,,
8/5/1967,"250,000",113.5,"221,000","227,750","1,174,000",94.7,"1,240,000","1,257,500",,,
8/12/1967,"193,000",95.5,"202,000","218,000","1,132,000",93.2,"1,215,000","1,246,750",,,
8/19/1967,"174,000",81.1,"215,000","211,750","1,064,000",88.5,"1,202,000","1,234,250",,,
8/26/1967,"160,000",75.5,"213,000","212,750","994,000",84.2,"1,180,000","1,209,250",,,
9/2/1967,"163,000",74.8,"218,000","212,000","931,000",77.3,"1,204,000","1,200,250",,,
9/9/1967,"156,000",68,"231,000","219,250","938,000",78.9,"1,189,000","1,193,750",,,
9/16/1967,"165,000",75.2,"220,000","220,500","891,000",75.6,"1,179,000","1,188,000",,,
9/23/1967,"155,000",74.4,"209,000","219,500","878,000",74.6,"1,178,000","1,187,500",,,
9/30/1967,"154,000",75.5,"204,000","216,000","860,000",74.3,"1,157,000","1,175,750",,,
10/7/1967,"195,000",84.4,"231,000","216,000","859,000",73.7,"1,165,000","1,169,750",,,
10/14/1967,"159,000",77.3,"206,000","212,500","901,000",75.8,"1,189,000","1,172,250",,,
10/21/1967,"181,000",81.3,"223,000","216,000","891,000",75.9,"1,174,000","1,171,250",,,
10/28/1967,"174,000",84,"207,000","216,750","893,000",76.9,"1,161,000","1,172,250",,,
11/4/1967,"204,000",91.9,"222,000","214,500","920,000",78.3,"1,176,000","1,175,000",,,
11/11/1967,"201,000",94.2,"214,000","216,500","951,000",83.3,"1,142,000","1,163,250",,,
11/18/1967,"209,000",105.4,"198,000","210,250","952,000",84.1,"1,133,000","1,153,000",,,
11/25/1967,"200,000",105.1,"191,000","206,250","1,062,000",93,"1,142,000","1,148,250",,,
12/2/1967,"228,000",116.6,"196,000","199,750","1,089,000",94.7,"1,150,000","1,141,750",,,
12/9/1967,"258,000",116.6,"221,000","201,500","1,127,000",97.7,"1,153,000","1,144,500",,,
12/16/1967,"241,000",118.7,"204,000","203,000","1,201,000",101.1,"1,188,000","1,158,250",,,
12/23/1967,"289,000",132.2,"219,000","210,000","1,260,000",105.5,"1,195,000","1,171,500",,,
12/30/1967,"332,000",153.8,"216,000","215,000","1,484,000",127.1,"1,167,000","1,175,750",,,
1/6/1968,"357,000",161,"222,000","215,250","1,618,000",139.7,"1,158,000","1,177,000",,,
1/13/1968,"373,000",167.9,"222,000","219,750","1,647,000",138.8,"1,187,000","1,176,750",,,
1/20/1968,"293,000",132.7,"221,000","220,250","1,649,000",138.4,"1,191,000","1,175,750",,,
1/27/1968,"242,000",122.7,"198,000","215,750","1,602,000",138.4,"1,157,000","1,173,250",,,
2/3/1968,"308,000",126.6,"244,000","221,250","1,591,000",135.7,"1,173,000","1,177,000",,,
2/10/1968,"257,000",122.5,"210,000","218,250","1,572,000",133.8,"1,175,000","1,174,000",,,
2/17/1968,"214,000",109.6,"196,000","212,000","1,541,000",134.8,"1,143,000","1,162,000",,,
2/24/1968,"199,000",103.3,"193,000","210,750","1,575,000",135.2,"1,165,000","1,164,000",,,
3/2/1968,"198,000",104.4,"190,000","197,250","1,513,000",131.5,"1,151,000","1,158,500",,,
3/9/1968,"208,000",102.1,"204,000","195,750","1,469,000",128.1,"1,147,000","1,151,500",,,
3/16/1968,"179,000",94.4,"190,000","194,250","1,421,000",124.3,"1,143,000","1,151,500",,,
3/23/1968,"175,000",87.9,"200,000","196,000","1,358,000",119.5,"1,136,000","1,144,250",,,
3/30/1968,"165,000",86,"192,000","196,500","1,288,000",115.1,"1,119,000","1,136,250",,,
4/6/1968,"184,000",96.2,"191,000","193,250","1,202,000",111.4,"1,079,000","1,119,250",,,
4/13/1968,"167,000",97.8,"171,000","188,500","1,174,000",108.8,"1,079,000","1,103,250",,,
4/20/1968,"165,000",90.4,"183,000","184,250","1,123,000",106.1,"1,059,000","1,084,000",,,
4/27/1968,"216,000",86.2,"251,000","199,000","1,112,000",102.3,"1,087,000","1,076,000",,,
5/4/1968,"180,000",86.5,"209,000","203,500","1,040,000",96.4,"1,079,000","1,076,000",,,
5/11/1968,"164,000",84.6,"194,000","209,250","1,006,000",92.2,"1,091,000","1,079,000",,,
5/18/1968,"156,000",78.4,"199,000","213,250","966,000",90.2,"1,071,000","1,082,000",,,
5/25/1968,"148,000",76.6,"194,000","199,000","923,000",86,"1,073,000","1,078,500",,,
6/1/1968,"139,000",70.4,"199,000","196,500","916,000",86.2,"1,063,000","1,074,500",,,
6/8/1968,"149,000",77.8,"192,000","196,000","921,000",83.9,"1,097,000","1,076,000",,,
6/15/1968,"154,000",79.4,"194,000","194,750","883,000",82.5,"1,071,000","1,076,000",,,
6/22/1968,"152,000",80.5,"189,000","193,500","872,000",82.3,"1,060,000","1,072,750",,,
6/29/1968,"173,000",89.7,"194,000","192,250","858,000",82.7,"1,038,000","1,066,500",,,
7/6/1968,"266,000",124.4,"214,000","197,750","982,000",89.5,"1,097,000","1,066,500",,,
7/13/1968,"242,000",130.6,"186,000","195,750","1,022,000",95,"1,076,000","1,067,750",,,
7/20/1968,"216,000",120.2,"180,000","193,500","975,000",94.4,"1,033,000","1,061,000",,,
7/27/1968,"238,000",116.4,"205,000","196,250","975,000",94.1,"1,036,000","1,060,500",,,
8/3/1968,"235,000",114.4,"206,000","194,250","1,012,000",94.4,"1,072,000","1,054,250",,,
8/10/1968,"222,000",102.1,"218,000","202,250","1,021,000",93.8,"1,088,000","1,057,250",,,
8/17/1968,"160,000",83.5,"192,000","205,250","994,000",89.8,"1,107,000","1,075,750",,,
8/24/1968,"148,000",77.1,"193,000","202,250","935,000",85.5,"1,094,000","1,090,250",,,
8/31/1968,"139,000",74,"188,000","197,750","845,000",79.4,"1,064,000","1,088,250",,,
9/7/1968,"135,000",71.8,"189,000","190,500","836,000",78.4,"1,067,000","1,083,000",,,
9/14/1968,"141,000",72.7,"195,000","191,250","805,000",77.1,"1,044,000","1,067,250",,,
9/21/1968,"142,000",74.9,"191,000","190,750","786,000",75.1,"1,047,000","1,055,500",,,
9/28/1968,"143,000",75.8,"189,000","191,000","785,000",74.9,"1,048,000","1,051,500",,,
10/5/1968,"153,000",83.4,"185,000","190,000","788,000",74.3,"1,060,000","1,049,750",,,
10/12/1968,"151,000",81.4,"186,000","187,750","790,000",75.6,"1,045,000","1,050,000",,,
10/19/1968,"151,000",79.3,"191,000","187,750","791,000",76.5,"1,035,000","1,047,000",,,
10/26/1968,"152,000",83.7,"182,000","186,000","797,000",77.1,"1,033,000","1,043,250",,,
11/2/1968,"161,000",89.5,"181,000","185,000","804,000",78.2,"1,028,000","1,035,250",,,
11/9/1968,"174,000",95.3,"183,000","184,250","839,000",81.6,"1,028,000","1,031,000",,,
11/16/1968,"196,000",102,"192,000","184,500","909,000",84.5,"1,076,000","1,041,250",,,
11/23/1968,"211,000",106.1,"199,000","188,750","922,000",90.1,"1,023,000","1,038,750",,,
11/30/1968,"180,000",111.4,"162,000","184,000","1,002,000",94.9,"1,056,000","1,045,750",,,
12/7/1968,"223,000",119.1,"188,000","185,250","1,033,000",97.2,"1,063,000","1,054,500",,,
12/14/1968,"233,000",119.2,"195,000","186,000","1,074,000",101.2,"1,061,000","1,050,750",,,
12/21/1968,"243,000",126.7,"192,000","184,250","1,083,000",101.9,"1,063,000","1,060,750",,,
12/28/1968,"333,000",149.3,"223,000","199,500","1,352,000",121.1,"1,116,000","1,075,750",,,
1/4/1969,"290,000",153,"190,000","200,000","1,532,000",137.1,"1,118,000","1,089,500",,,
1/11/1969,"337,000",176.8,"191,000","199,000","1,509,000",137.3,"1,099,000","1,099,000",,,
1/18/1969,"265,000",138.6,"192,000","199,000","1,469,000",137.1,"1,072,000","1,101,250",,,
1/25/1969,"236,000",122.6,"193,000","191,500","1,474,000",136.9,"1,077,000","1,091,500",,,
2/1/1969,"250,000",123.4,"203,000","194,750","1,487,000",135.3,"1,099,000","1,086,750",,,
2/8/1969,"248,000",126.4,"197,000","196,250","1,440,000",132.4,"1,088,000","1,084,000",,,
2/15/1969,"219,000",114.6,"192,000","196,250","1,498,000",134.4,"1,115,000","1,094,750",,,
2/22/1969,"199,000",104.1,"192,000","196,000","1,461,000",133.8,"1,092,000","1,098,500",,,
3/1/1969,"206,000",102.9,"201,000","195,500","1,437,000",130.9,"1,098,000","1,098,250",,,
3/8/1969,"195,000",102.3,"191,000","194,000","1,400,000",127.4,"1,099,000","1,101,000",,,
3/15/1969,"179,000",95.1,"189,000","193,250","1,342,000",124.2,"1,080,000","1,092,250",,,
3/22/1969,"158,000",87.5,"181,000","190,500","1,279,000",119.4,"1,071,000","1,087,000",,,
3/29/1969,"157,000",86.3,"183,000","186,000","1,200,000",115.3,"1,041,000","1,072,750",,,
4/5/1969,"170,000",93.7,"182,000","183,750","1,197,000",111.3,"1,076,000","1,067,000",,,
4/12/1969,"187,000",98.4,"190,000","184,000","1,145,000",109.1,"1,050,000","1,059,500",,,
4/19/1969,"168,000",89.9,"187,000","185,500","1,089,000",106.3,"1,025,000","1,048,000",,,
4/26/1969,"151,000",86,"177,000","184,000","1,019,000",102.7,"992,000","1,035,750",,,
5/3/1969,"150,000",84.9,"177,000","182,750","974,000",97.1,"1,003,000","1,017,500",,,
5/10/1969,"157,000",86.1,"183,000","181,000","945,000",92.8,"1,018,000","1,009,500",,,
5/17/1969,"141,000",79.1,"179,000","179,000","916,000",90.9,"1,007,000","1,005,000",,,
5/24/1969,"138,000",77.1,"180,000","179,750","883,000",87.8,"1,006,000","1,008,500",,,
5/31/1969,"135,000",72.3,"187,000","182,250","855,000",86.6,"988,000","1,004,750",,,
6/7/1969,"148,000",77.3,"192,000","184,500","848,000",85.5,"992,000","998,250",,,
6/14/1969,"145,000",80.2,"182,000","185,250","844,000",83.6,"1,010,000","999,000",,,
6/21/1969,"155,000",81.5,"191,000","188,000","843,000",83.3,"1,012,000","1,000,500",,,
6/28/1969,"177,000",87.6,"203,000","192,000","854,000",83.7,"1,021,000","1,008,750",,,
7/5/1969,"267,000",117.9,"227,000","200,750","949,000",88.5,"1,072,000","1,028,750",,,
7/12/1969,"271,000",129.6,"210,000","207,750","1,033,000",94.6,"1,092,000","1,049,250",,,
7/19/1969,"246,000",120,"206,000","211,500","1,012,000",94.4,"1,072,000","1,064,250",,,
7/26/1969,"221,000",115.6,"192,000","208,750","1,041,000",93.8,"1,110,000","1,086,500",,,
8/2/1969,"223,000",113.9,"196,000","201,000","1,061,000",94.2,"1,126,000","1,100,000",,,
8/9/1969,"210,000",103.6,"203,000","199,250","1,023,000",93.6,"1,093,000","1,100,250",,,
8/16/1969,"168,000",84.5,"199,000","197,500","962,000",90.2,"1,067,000","1,099,000",,,
8/23/1969,"154,000",77.8,"199,000","199,250","912,000",86,"1,060,000","1,086,500",,,
8/30/1969,"144,000",73.9,"195,000","199,000","870,000",81,"1,074,000","1,073,500",,,
9/6/1969,"133,000",73.5,"182,000","193,750","872,000",78.5,"1,111,000","1,078,000",,,
9/13/1969,"149,000",71.5,"209,000","196,250","848,000",78.3,"1,082,000","1,081,750",,,
9/20/1969,"147,000",75.5,"195,000","195,250","823,000",76,"1,083,000","1,087,500",,,
9/27/1969,"147,000",76.6,"193,000","194,750","821,000",75.6,"1,086,000","1,090,500",,,
10/4/1969,"159,000",82.4,"193,000","197,500","830,000",75.3,"1,103,000","1,088,500",,,
10/11/1969,"168,000",84.5,"200,000","195,250","832,000",75.7,"1,100,000","1,093,000",,,
10/18/1969,"155,000",78.2,"199,000","196,250","864,000",77.3,"1,118,000","1,101,750",,,
10/25/1969,"171,000",83.9,"205,000","199,250","879,000",77.4,"1,136,000","1,114,250",,,
11/1/1969,"174,000",88.2,"198,000","200,500","902,000",78.9,"1,143,000","1,124,250",,,
11/8/1969,"206,000",97.4,"211,000","203,250","935,000",81.6,"1,146,000","1,135,750",,,
11/15/1969,"196,000",99.5,"197,000","202,750","1,007,000",85.3,"1,181,000","1,151,500",,,
11/22/1969,"230,000",106.4,"217,000","205,750","1,025,000",88.5,"1,158,000","1,157,000",,,
11/29/1969,"219,000",108.2,"202,000","206,750","1,152,000",95.1,"1,211,000","1,174,000",,,
12/6/1969,"247,000",122.2,"202,000","204,500","1,193,000",97.3,"1,226,000","1,194,000",,,
12/13/1969,"264,000",119.5,"222,000","210,750","1,251,000",101.4,"1,233,000","1,207,000",,,
12/20/1969,"289,000",124.7,"232,000","214,500","1,273,000",101.7,"1,252,000","1,230,500",,,
12/27/1969,"320,000",143.5,"223,000","219,750","1,534,000",117.6,"1,304,000","1,253,750",,,
1/3/1970,"344,000",149.7,"230,000","226,750","1,787,000",134.2,"1,332,000","1,280,250",,,
1/10/1970,"429,000",177.5,"242,000","231,750","1,835,000",135.6,"1,353,000","1,310,250",,,
1/17/1970,"386,000",144.3,"268,000","240,750","1,848,000",134.8,"1,371,000","1,340,000",,,
1/24/1970,"316,000",123.7,"256,000","249,000","1,872,000",134.9,"1,388,000","1,361,000",,,
1/31/1970,"293,000",122.6,"239,000","251,250","1,860,000",134.3,"1,385,000","1,374,250",,,
2/7/1970,"324,000",126.7,"256,000","254,750","1,831,000",131.1,"1,397,000","1,385,250",,,
2/14/1970,"308,000",116.1,"265,000","254,000","1,924,000",133.2,"1,445,000","1,403,750",,,
2/21/1970,"285,000",105.3,"271,000","257,750","1,869,000",132.4,"1,412,000","1,409,750",,,
2/28/1970,"241,000",99.8,"242,000","258,500","1,869,000",130.7,"1,430,000","1,421,000",,,
3/7/1970,"270,000",103.4,"262,000","260,000","1,833,000",127.1,"1,443,000","1,432,500",,,
3/14/1970,"258,000",95.4,"271,000","261,500","1,808,000",124.1,"1,456,000","1,435,250",,,
3/21/1970,"233,000",88.4,"264,000","259,750","1,788,000",119.4,"1,498,000","1,456,750",,,
3/28/1970,"236,000",85.8,"276,000","268,250","1,775,000",115.5,"1,537,000","1,483,500",,,
4/4/1970,"250,000",91.7,"273,000","271,000","1,762,000",112,"1,573,000","1,516,000",,,
4/11/1970,"300,000",98.5,"305,000","279,500","1,739,000",109.6,"1,586,000","1,548,500",,,
4/18/1970,"339,000",90.5,"374,000","307,000","1,767,000",106.9,"1,653,000","1,587,250",,,
4/25/1970,"299,000",85.7,"349,000","325,250","1,805,000",103.3,"1,748,000","1,640,000",,,
5/2/1970,"278,000",83.4,"334,000","340,500","1,774,000",97.9,"1,811,000","1,699,500",,,
5/9/1970,"279,000",87.9,"318,000","343,750","1,738,000",94.1,"1,847,000","1,764,750",,,
5/16/1970,"242,000",79.9,"303,000","326,000","1,689,000",91.8,"1,840,000","1,811,500",,,
5/23/1970,"231,000",78.1,"296,000","312,750","1,639,000",89.7,"1,827,000","1,831,250",,,
5/30/1970,"224,000",74.5,"301,000","304,500","1,579,000",87.4,"1,807,000","1,830,250",,,
6/6/1970,"234,000",77.7,"301,000","300,250","1,582,000",87.1,"1,817,000","1,822,750",,,
6/13/1970,"242,000",81.3,"298,000","299,000","1,574,000",85,"1,852,000","1,825,750",,,
6/20/1970,"245,000",82.7,"296,000","299,000","1,578,000",84.7,"1,864,000","1,835,000",,,
6/27/1970,"247,000",84.9,"291,000","296,500","1,579,000",84.6,"1,866,000","1,849,750",,,
7/4/1970,"309,000",111.8,"277,000","290,500","1,628,000",87.9,"1,853,000","1,858,750",,,
7/11/1970,"369,000",128.6,"288,000","288,000","1,759,000",94.2,"1,868,000","1,862,750",,,
7/18/1970,"353,000",120.1,"294,000","287,500","1,774,000",94.5,"1,877,000","1,866,000",,,
7/25/1970,"329,000",115,"287,000","286,500","1,801,000",93.9,"1,918,000","1,879,000",,,
8/1/1970,"293,000",112.5,"261,000","282,500","1,790,000",94.2,"1,900,000","1,890,750",,,
8/8/1970,"278,000",104.9,"266,000","277,000","1,767,000",93.5,"1,890,000","1,896,250",,,
8/15/1970,"257,000",85.8,"300,000","278,500","1,748,000",90.4,"1,933,000","1,910,250",,,
8/22/1970,"238,000",78.6,"303,000","282,500","1,706,000",86.6,"1,970,000","1,923,250",,,
8/29/1970,"220,000",74.2,"297,000","291,500","1,646,000",82.1,"2,005,000","1,949,500",,,
9/5/1970,"240,000",74.3,"324,000","306,000","1,577,000",79,"1,996,000","1,976,000",,,
9/12/1970,"207,000",71.1,"292,000","304,000","1,643,000",79.4,"2,068,000","2,009,750",,,
9/19/1970,"247,000",76.2,"325,000","309,500","1,585,000",76.6,"2,069,000","2,034,500",,,
9/26/1970,"256,000",77,"333,000","318,500","1,597,000",76.3,"2,092,000","2,056,250",,,
10/3/1970,"284,000",81.1,"350,000","325,000","1,640,000",75.8,"2,164,000","2,098,250",,,
10/10/1970,"287,000",87.9,"327,000","333,750","1,672,000",75.8,"2,207,000","2,133,000",,,
10/17/1970,"259,000",77.6,"334,000","336,000","1,728,000",78.2,"2,210,000","2,168,250",,,
10/24/1970,"280,000",84.8,"330,000","335,250","1,758,000",77.9,"2,257,000","2,209,500",,,
10/31/1970,"283,000",86.8,"327,000","329,500","1,773,000",79.4,"2,233,000","2,226,750",,,
11/7/1970,"333,000",99.2,"336,000","331,750","1,854,000",81.3,"2,279,000","2,244,750",,,
11/14/1970,"307,000",97.9,"314,000","326,750","2,007,000",85.7,"2,343,000","2,278,000",,,
11/21/1970,"333,000",106.4,"314,000","322,750","1,980,000",86.7,"2,285,000","2,285,000",,,
11/28/1970,"354,000",105,"337,000","325,250","2,186,000",95.4,"2,292,000","2,299,750",,,
12/5/1970,"378,000",122.9,"308,000","318,250","2,214,000",97.3,"2,276,000","2,299,000",,,
12/12/1970,"370,000",121.2,"306,000","316,250","2,223,000",101.3,"2,193,000","2,261,500",,,
12/19/1970,"354,000",123,"289,000","310,000","2,254,000",101.4,"2,224,000","2,246,250",,,
12/26/1970,"451,000",140.5,"321,000","306,000","2,446,000",113.9,"2,147,000","2,210,000",,,
1/2/1971,"443,000",146.6,"303,000","304,750","2,757,000",131.2,"2,102,000","2,166,500",5.2,3.9,"53,221,100"
1/9/1971,"500,000",173.9,"288,000","300,250","2,829,000",133.2,"2,124,000","2,149,250",5.3,4,"53,221,100"
1/16/1971,"452,000",151.4,"299,000","302,750","2,798,000",133.2,"2,100,000","2,118,250",5.3,3.9,"53,221,100"
1/23/1971,"399,000",127.8,"312,000","300,500","2,794,000",133.6,"2,091,000","2,104,250",5.2,3.9,"53,221,100"
1/30/1971,"353,000",121,"292,000","297,750","2,781,000",133.3,"2,086,000","2,100,250",5.2,3.9,"53,221,100"
2/6/1971,"375,000",126.6,"296,000","299,750","2,761,000",130.3,"2,120,000","2,099,250",5.2,4,"53,221,100"
2/13/1971,"333,000",118.5,"282,000","295,500","2,744,000",132,"2,079,000","2,094,000",5.2,3.9,"53,221,100"
2/20/1971,"286,000",106.9,"268,000","284,500","2,782,000",131.2,"2,120,000","2,101,250",5.2,4,"53,221,100"
2/27/1971,"289,000",99.9,"290,000","284,000","2,717,000",130.6,"2,081,000","2,100,000",5.1,3.9,"53,221,100"
3/6/1971,"306,000",103,"297,000","284,250","2,703,000",126.8,"2,132,000","2,103,000",5.1,4,"53,221,100"
3/13/1971,"275,000",96,"287,000","285,500","2,634,000",123.9,"2,126,000","2,114,750",4.9,4,"53,221,100"
3/20/1971,"260,000",89.8,"291,000","291,250","2,561,000",119.7,"2,140,000","2,119,750",4.8,4,"53,221,100"
3/27/1971,"261,000",87,"300,000","293,750","2,505,000",116.2,"2,157,000","2,138,750",4.7,4.1,"53,221,100"
4/3/1971,"267,000",89.2,"299,000","294,250","2,406,000",112.7,"2,135,000","2,139,500",4.5,4,"53,155,200"
4/10/1971,"278,000",99.7,"279,000","292,250","2,374,000",110.1,"2,156,000","2,147,000",4.5,4.1,"53,155,200"
4/17/1971,"257,000",90.9,"284,000","290,500","2,323,000",107.4,"2,163,000","2,152,750",4.4,4.1,"53,155,200"
4/24/1971,"248,000",86.4,"288,000","287,500","2,226,000",104.7,"2,127,000","2,145,250",4.2,4,"53,155,200"
5/1/1971,"237,000",82,"290,000","285,250","2,144,000",99.4,"2,157,000","2,150,750",4,4.1,"53,155,200"
5/8/1971,"260,000",88.7,"293,000","288,750","2,077,000",95.3,"2,179,000","2,156,500",3.9,4.1,"53,155,200"
5/15/1971,"230,000",81.1,"284,000","288,750","2,030,000",93.2,"2,179,000","2,160,500",3.8,4.1,"53,155,200"
5/22/1971,"231,000",78.7,"295,000","290,500","1,989,000",91.8,"2,167,000","2,170,500",3.7,4.1,"53,155,200"
5/29/1971,"231,000",77.4,"299,000","292,750","1,918,000",88.4,"2,171,000","2,174,000",3.6,4.1,"53,155,200"
6/5/1971,"232,000",77.3,"301,000","294,750","1,947,000",88.7,"2,194,000","2,177,750",3.7,4.1,"53,155,200"
6/12/1971,"244,000",82.8,"295,000","297,500","1,902,000",86.5,"2,199,000","2,182,750",3.6,4.1,"53,155,200"
6/19/1971,"249,000",83.5,"299,000","298,500","1,883,000",86.3,"2,182,000","2,186,500",3.5,4.1,"53,155,200"
6/26/1971,"247,000",85,"291,000","296,500","1,870,000",86.1,"2,172,000","2,186,750",3.5,4.1,"53,155,200"
7/3/1971,"288,000",104.1,"277,000","290,500","1,846,000",87.3,"2,116,000","2,167,250",3.5,4,"52,803,500"
7/10/1971,"335,000",127.3,"264,000","282,750","2,006,000",94.2,"2,130,000","2,150,000",3.8,4,"52,803,500"
7/17/1971,"367,000",117.4,"313,000","286,250","1,979,000",94.8,"2,087,000","2,126,250",3.7,4,"52,803,500"
7/24/1971,"342,000",112.6,"304,000","289,500","1,997,000",93.8,"2,129,000","2,115,500",3.8,4,"52,803,500"
7/31/1971,"340,000",110.5,"308,000","297,250","2,020,000",93.9,"2,150,000","2,124,000",3.8,4.1,"52,803,500"
8/7/1971,"362,000",103.9,"349,000","318,500","2,015,000",92.7,"2,174,000","2,135,000",3.8,4.1,"52,803,500"
8/14/1971,"282,000",86.8,"325,000","321,500","1,985,000",90.1,"2,202,000","2,163,750",3.8,4.2,"52,803,500"
8/21/1971,"252,000",79.1,"320,000","325,500","1,895,000",86.7,"2,186,000","2,178,000",3.6,4.1,"52,803,500"
8/28/1971,"228,000",74.3,"307,000","325,250","1,817,000",83,"2,188,000","2,187,500",3.4,4.1,"52,803,500"
9/4/1971,"268,000",74.6,"359,000","327,750","1,756,000",78.8,"2,228,000","2,201,000",3.3,4.2,"52,803,500"
9/11/1971,"219,000",70.4,"312,000","324,500","1,801,000",80.1,"2,250,000","2,213,000",3.4,4.3,"52,803,500"
9/18/1971,"230,000",76.4,"302,000","320,000","1,733,000",77.2,"2,246,000","2,228,000",3.3,4.3,"52,803,500"
9/25/1971,"236,000",76.9,"308,000","320,250","1,713,000",76.7,"2,233,000","2,239,250",3.2,4.2,"52,803,500"
10/2/1971,"238,000",79.7,"299,000","305,250","1,690,000",76.3,"2,216,000","2,236,250",3.2,4.2,"52,640,400"
10/9/1971,"280,000",89.8,"313,000","305,500","1,692,000",75.3,"2,247,000","2,235,500",3.2,4.3,"52,640,400"
10/16/1971,"233,000",78.2,"299,000","304,750","1,724,000",78.7,"2,190,000","2,221,500",3.3,4.2,"52,640,400"
10/23/1971,"251,000",85.3,"294,000","301,250","1,693,000",77.8,"2,176,000","2,207,250",3.2,4.1,"52,640,400"
10/30/1971,"241,000",85.2,"283,000","297,250","1,746,000",79.6,"2,194,000","2,201,750",3.3,4.2,"52,640,400"
11/6/1971,"297,000",98.8,"301,000","294,250","1,787,000",81.1,"2,204,000","2,191,000",3.4,4.2,"52,640,400"
11/13/1971,"289,000",98.2,"295,000","293,250","1,828,000",85.6,"2,134,000","2,177,000",3.5,4.1,"52,640,400"
11/20/1971,"291,000",106.3,"274,000","288,250","1,814,000",85,"2,134,000","2,166,500",3.4,4.1,"52,640,400"
11/27/1971,"284,000",102.3,"278,000","287,000","2,015,000",95.4,"2,111,000","2,145,750",3.8,4,"52,640,400"
12/4/1971,"372,000",124.5,"299,000","286,500","2,053,000",97,"2,117,000","2,124,000",3.9,4,"52,640,400"
12/11/1971,"348,000",124.4,"280,000","282,750","2,110,000",101.2,"2,085,000","2,111,750",4,4,"52,640,400"
12/18/1971,"329,000",122.5,"269,000","281,500","2,147,000",101.8,"2,109,000","2,105,500",4.1,4,"52,640,400"
12/25/1971,"340,000",139.7,"244,000","273,000","2,245,000",110.2,"2,037,000","2,087,000",4.3,3.9,"52,640,400"
1/1/1972,"405,000",145.4,"279,000","268,000","2,485,000",128.5,"1,934,000","2,041,250",4.7,3.7,"52,631,500"
1/8/1972,"479,000",162.4,"295,000","271,750","2,529,000",130.9,"1,931,000","2,002,750",4.8,3.7,"52,631,500"
1/15/1972,"395,000",158.4,"250,000","267,000","2,527,000",131.4,"1,923,000","1,956,250",4.8,3.7,"52,631,500"
